llm_name,condition,bundle,order,subtask,requested,acc,acc_ci_low,acc_ci_high,present_rate
google/gemini-3.1-pro-preview,full_focus_epu_first,full,epu_first,who,1,0.252,0.2159338483813719,0.2918478244875581,0.35
google/gemini-3.1-pro-preview,full_focus_epu_first,full,epu_first,actions,1,0.228,0.19338176911500068,0.26676587209608377,0.35
google/gemini-3.1-pro-preview,full_focus_epu_first,full,epu_first,effects,1,0.218,0.18403372643598842,0.25626640158432706,0.35
google/gemini-3.1-pro-preview,full_focus_epu_first,full,epu_first,mention_foreign,1,0.594,0.5503970661272916,0.6361695578659367,1.0
google/gemini-3.1-pro-preview,full_focus_epu_first,full,epu_first,mainly_foreign,1,0.792,0.7542636968800828,0.8252836882903708,1.0
google/gemini-3.1-pro-preview,full_focus_epu_last,full,epu_last,who,1,0.27,0.2329485392031058,0.31055865740920835,0.332
google/gemini-3.1-pro-preview,full_focus_epu_last,full,epu_last,actions,1,0.218,0.18403372643598842,0.25626640158432706,0.332
google/gemini-3.1-pro-preview,full_focus_epu_last,full,epu_last,effects,1,0.2,0.16728549897175743,0.23728910530517394,0.332
google/gemini-3.1-pro-preview,full_focus_epu_last,full,epu_last,mention_foreign,1,0.588,0.5443465920099858,0.630311524068781,1.0
google/gemini-3.1-pro-preview,full_focus_epu_last,full,epu_last,mainly_foreign,1,0.778,0.739530218085007,0.8122306486183701,1.0
